model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.739622641509434,0.0216410698541953,0.6915265311358647,0.0380711016547233
Logistic Regression Classification with LBFGS,0.7421383647798743,0.0251572327044025,0.6947760889481789,0.0404103179026222
SVM Linear Kernel,0.7333333333333333,0.0329454109527265,0.6887787907154833,0.04314711961423
SVM RBF Kernel,0.729559748427673,0.0521671480586861,0.6861762669677045,0.0602759960070855
SVM Polynomial Kernel,0.7132075471698113,0.030188679245283,0.6434728198382358,0.0491153881274613
Random Forest Classification,0.7270440251572327,0.018486715039873,0.6992760054311027,0.0322123262022638
XGBoost Classification,0.7257861635220125,0.0243908420498935,0.6692228207885995,0.0342424897943691
k-NN Classification,0.7044025157232704,0.0231938225340701,0.6464201792055355,0.0420325303834388
Naive Bayes Classification,0.6981132075471697,0.03280101839095671,0.6611954051280897,0.039052640066275845
